Model_ID,Timestamp,Model Name,Accuracy,Precision,Recall,F1-Score,Epochs,Batch Size,Learning Rate,Training Time (s),Saved Model
d1fb5027,2025-05-10 18:16:42,,0.9831,0.9834,0.9831,0.9831,14,32,0.0001,42.73,
1c13d6ed,2025-05-10 18:23:03,,0.9856,0.9857,0.9856,0.9856,15,32,0.0001,45.09,
1a6a7bf0,2025-05-10 19:39:01,,0.9853,0.9855,0.9853,0.9853,15,32,0.0001,40.36,
99ebb58d,2025-05-10 19:47:19,,0.9878,0.9880,0.9878,0.9878,15,30,0.001,0,
d22397a0,2025-05-11 21:58:26,,0.9824,0.9825,0.9824,0.9824,15,32,0.0001,53.63,
8b54de30,2025-05-11 22:31:12,,0.9680,0.9693,0.9680,0.9680,10,32,0.0001,38.26,
7433942b,2025-05-11 22:33:54,,0.9748,0.9751,0.9748,0.9748,9,32,0.0001,39.39,
7cfdfb2f,2025-05-11 22:35:45,,0.9853,0.9854,0.9853,0.9853,10,32,0.0001,40.37,
2a378b1e,2025-05-12 09:19:31,,0.9770,0.9773,0.9770,0.9771,10,32,0.0001,83.88,
837c3b89,2025-05-12 11:13:43,,0.9583,0.9601,0.9583,0.9587,10,32,0.0001,92.21,
eeca89f5,2025-05-13 18:16:11,,0.9806,0.9797,0.9784,0.9789,9,32,0.001,93.5,model_b37c0303.h5
74a6bc18,2025-05-13 19:21:11,,0.9770,0.9726,0.9760,0.9742,5,19,0.001,55.6,
d6838d8f,2025-05-13 19:21:14,,0.9770,0.9775,0.9770,0.9771,5,19,0.001,58.52,
d6838d8f,2025-05-13 19:21:33,model22,0.9770,0.9775,0.9770,0.9771,5,19,0.001,58.52,model_model22.h5
bd5428a0,2025-05-13 20:37:20,,0.9820,0.9800,0.9817,0.9807,5,32,0.001,46.31,
ebad08ae,2025-05-13 20:37:23,,0.9820,0.9825,0.9820,0.9821,5,32,0.001,49.04,
ebad08ae,2025-05-13 20:37:38,new_model_test,0.9820,0.9825,0.9820,0.9821,5,32,0.001,49.04,model_new_model_test.h5
75fa20ae,2025-05-14 21:42:22,,0.9907,0.9900,0.9898,0.9898,10,32,0.001,83.95,
7064d879,2025-05-14 21:42:23,model_test_api_v1,0.9907,0.9908,0.9907,0.9907,10,32,0.001,87.6,model_test_api_v1.h5
17345f9b,2025-05-14 21:48:16,,0.9885,0.9882,0.9861,0.9871,5,30,0.001,48.46,
8ff81fce,2025-05-14 21:48:17,model_api_train_v2,0.9885,0.9886,0.9885,0.9885,5,30,0.001,51.28,model_api_train_v2.h5
47cbb06f,2025-05-15 11:19:41,,0.4626,0.4762,0.4547,0.3730,5,32,0.1,46.99,
62499a48,2025-05-15 11:19:42,gui_test,0.4626,0.5523,0.4626,0.4113,5,32,0.1,50.16,gui_test.h5
d452554e,2025-05-15 11:30:43,,0.9824,0.9792,0.9831,0.9810,10,32,0.001,82.87,
a417a97e,2025-05-15 11:30:43,model_tst2,0.9824,0.9828,0.9824,0.9824,10,32,0.001,86.09,model_tst2.h5
a16554f0,2025-05-15 14:36:25,0.9845,0.9837,0.9834,0.9834,5,32,0.001,43.5,,
a0018f70,2025-05-15 14:36:26,0.9845,0.9849,0.9845,0.9846,5,32,0.001,46.34,model_name_2,model_name_2.h5
f86de1a2,2025-05-15 14:45:06,0.9831,0.9819,0.9808,0.9811,5,32,0.001,21.31,,
be8e3f80,2025-05-15 14:45:07,0.9831,0.9835,0.9831,0.9831,5,32,0.001,22.59,model_name_v3,model_name_v3.h5
10f99689,2025-05-15 14:56:50,0.991,0.9908,0.9902,0.9905,5,32,0.001,20.18,,
3651ee5f,2025-05-15 14:56:52,0.991,0.991,0.991,0.991,5,32,0.001,23.09,model_name_v4,model_name_v4.h5
a10e22a3,2025-05-15 15:34:38,0.9838,0.9831,0.9812,0.9819,5,32,0.001,21.27,,
e28930a9,2025-05-15 15:34:39,0.9838,0.9843,0.9838,0.9839,5,32,0.001,24.81,tst_model,tst_model.h5
e7984077,2025-05-17 14:04:09,0.9863,0.986,0.9865,0.9861,5,32,0.001,34.01,,
d15e45a5,2025-05-17 14:04:10,0.9863,0.9866,0.9863,0.9864,5,32,0.001,36.3,hellooo,hellooo.h5
2a6bd814,2025-05-19 21:25:29,0.9691,0.9677,0.9645,0.9655,5,10,0.001,83.12,,
0db293a3,2025-05-19 21:25:30,0.9691,0.9704,0.9691,0.9692,5,10,0.001,86.67,fghj,fghj.h5
1fd85805,2025-05-20 20:06:36,0.986,0.9861,0.9844,0.9851,5,32,0.001,20.45,,
a04f42ba,2025-05-20 20:06:36,0.986,0.9862,0.986,0.986,5,32,0.001,21.59,hallo,hallo.h5
abccc7b6,2025-05-20 20:07:32,0.963,0.9634,0.9572,0.9592,5,32,0.001,14.85,,
8c8468f9,2025-05-20 20:07:33,0.963,0.9649,0.963,0.963,5,32,0.001,15.77,hallo,hallo.h5
4f6bf1eb,2025-05-20 20:21:17,0.959,0.9605,0.949,0.9526,5,32,0.001,54.29,,
36b43baf,2025-05-20 20:21:18,0.959,0.962,0.959,0.9588,5,32,0.001,57.66,ui_test_api1,ui_test_api1.h5
f7c294d5,2025-05-20 21:44:38,0.9856,0.9842,0.9847,0.9844,5,32,0.001,14.58,,
d47a1525,2025-05-20 21:44:40,0.9856,0.9858,0.9856,0.9856,5,32,0.001,15.4,,
