Model_ID,Timestamp,Model Name,Accuracy,Precision,Recall,F1-Score,Epochs,Batch Size,Learning Rate,Training Time (s),Saved Model
5348e0fc,2025-05-22 16:34:41,heyy_01,0.9899,0.99,0.9899,0.9899,8,32,0.001,23.12,heyy_01.h5
240ec712,2025-05-22 16:38:28,NL,0.9709,0.9727,0.9709,0.9709,5,5,0.001,38.14,NL.h5
80973acf,2025-05-22 21:21:29,zzz,0.9723,0.9737,0.9723,0.9723,4,32,0.001,37.4,zzz.h5
d59569b6,2025-05-22 21:31:35,jkjk,0.9835,0.9836,0.9835,0.9835,6,32,0.001,43.22,jkjk.h5
f99a70dd,2025-05-22 21:52:36,lll,0.9856,0.9858,0.9856,0.9857,5,32,0.001,59.54,lll.h5
6210d399,2025-05-22 22:08:27,vwv,0.9673,0.9707,0.9673,0.9675,5,30,0.001,56.83,vwv.h5
e969ba9f,2025-05-22 22:34:41,hgfd,0.9838,0.9844,0.9838,0.9838,5,32,0.001,53.28,hgfd.h5
eb629333,2025-05-22 23:04:32,modellllllllllllll,0.9925,0.9925,0.9925,0.9924,10,32,0.001,69.44,modellllllllllllll.h5
37684e2e,2025-05-23 22:16:41,test4test,0.9845,0.9849,0.9845,0.9846,5,12,0.001,97.28,test4test.h5
0e925208,2025-05-23 22:42:09,test_f1,0.9838,0.984,0.9838,0.9839,6,16,0.001,73.93,test_f1.h5
f8a14d8c,2025-05-23 22:43:35,test_f2,0.972,0.9745,0.972,0.9721,4,32,0.001,17.82,test_f2.h5
fcadc0cb,2025-05-23 22:50:18,test_f3,0.9838,0.9843,0.9838,0.9838,10,32,0.001,27.18,test_f3.h5
60402900,2025-05-23 22:55:31,TEST_F4,0.9874,0.9876,0.9874,0.9874,8,30,0.001,33.62,TEST_F4.h5
54b1ee79,2025-05-23 23:04:02,test_f5,0.9799,0.9806,0.9799,0.98,9,32,0.001,43.55,test_f5.h5
cf9e89e6,2025-05-23 23:32:43,test_training_ui1,0.9863,0.9864,0.9863,0.9863,5,32,0.001,25.21,test_training_ui1.h5
04542822,2025-05-23 23:43:27,train_test001,0.9676,0.9688,0.9676,0.9677,6,32,0.001,33.99,train_test001.h5
e37fdd4c,2025-05-23 23:44:07,test_train002,0.9842,0.9846,0.9842,0.9842,6,32,0.001,15.99,test_train002.h5
37f74504,2025-05-23 23:54:55,test_train003,0.9827,0.9831,0.9827,0.9828,7,32,0.001,38.76,test_train003.h5
b96f97ca,2025-05-23 23:56:08,train_test005,0.9817,0.9824,0.9817,0.9818,5,32,0.001,47.24,train_test005.h5
0b7547fd,2025-05-24 00:02:26,test_train009,0.9831,0.9834,0.9831,0.9831,7,32,0.001,39.19,test_train009.h5
66db663c,2025-05-24 09:57:25,test_train101,0.9899,0.99,0.9899,0.9899,10,32,0.001,75.86,test_train101.h5
2057d6f0,2025-05-24 10:05:40,test_train010,0.9889,0.9889,0.9889,0.9889,6,32,0.001,41.74,test_train010.h5
55eb2703,2025-05-24 10:11:45,test_train011,0.9899,0.99,0.9899,0.9899,4,32,0.001,38.07,test_train011.h5
1aa385e9,2025-05-24 10:15:53,test_train012,0.9623,0.9672,0.9623,0.9621,6,32,0.001,50.05,test_train012.h5
806238f5,2025-05-24 10:20:21,train_test013,0.9759,0.9769,0.9759,0.9759,7,32,0.001,58.73,train_test013.h5
9a3b2a10,2025-05-24 18:12:01,jkjkjk,0.9885,0.9885,0.9885,0.9885,5,32,0.001,48.87,jkjkjk.h5
9f87ad63,2025-05-24 21:59:48,doeidoei,0.9669,0.9705,0.9669,0.9668,5,32,0.001,42.69,doeidoei.h5
cc5d4042,2025-05-25 00:04:45,xxxxx,0.9536,0.959,0.9536,0.9547,2,32,0.001,26.79,xxxxx.h5
5c41756d,2025-05-25 12:27:25,doei,0.9838,0.9841,0.9838,0.9839,5,32,0.001,61.76,doei.h5
07d1c4ed,2025-05-25 17:49:37,demo,0.986,0.9861,0.986,0.986,5,32,0.001,60.54,demo.h5
4c67bcec,2025-05-25 21:56:30,bedankt,0.9802,0.9809,0.9802,0.9803,5,32,0.001,43.4,bedankt.h5
2532774e,2025-05-28 00:58:04,model_first,0.9921,0.9921,0.9921,0.9921,100,32,0.001,434.49,model_first.h5
3bf31dde,2025-05-28 01:47:35,model_experiment_3,0.9953,0.9954,0.9953,0.9953,99,32,0.001,267.47,model_experiment_3.h5
dd84d03d,2025-05-29 20:10:08,model_experient_4,0.9946,0.9946,0.9946,0.9946,100,32,0.001,617.78,model_experient_4.h5
7df22aae,2025-05-29 20:21:11,experiment_5,0.9942,0.9943,0.9942,0.9942,100,32,0.001,459.07,experiment_5.h5
79e23bd1,2025-05-30 01:01:06,Experiment_6,0.9939,0.9939,0.9939,0.9939,100,32,0.001,259.44,Experiment_6.h5
470d32b8,2025-06-02 15:28:14,testtgurwiougeri,0.9727,0.9742,0.9727,0.9726,5,32,0.001,27.49,testtgurwiougeri.h5
50a70de2,2025-06-22 15:57:40,tst453743,0.9817,0.9824,0.9817,0.9817,5,32,0.001,32.52,tst453743.h5
dbb793a3,2025-06-23 22:10:46,tstststtst,0.9817,0.9819,0.9817,0.9816,5,32,0.001,32.49,tstststtst.h5
